"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","wValue","Info"
"667","128.603397000","host","7.0","USB","80","4b600dee90e6b3f0ef90e6b4f002076b","0x0579","URB_CONTROL out"
"669","128.614394000","host","7.0","USB","80","90e6a0e04401f002076b90e6a0e04401","0x0589","URB_CONTROL out"
"671","128.620313000","host","7.0","USB","80","f002076b1212ef02076b12130102076b","0x0599","URB_CONTROL out"
"673","128.628411000","host","7.0","USB","80","12104c02076b1212dd02076b12004840","0x05a9","URB_CONTROL out"
"675","128.636223000","host","7.0","USB","80","0302076b90e6b8e0247f602b14603c24","0x05b9","URB_CONTROL out"
"677","128.643647000","host","7.0","USB","80","026003020654a200e433ff25e0ffa203","0x05c9","URB_CONTROL out"
"679","128.647969000","host","7.0","USB","80","e4334f90e740f0e4a3f090e68af090e6","0x05d9","URB_CONTROL out"
"681","128.652988000","host","7.0","USB","80","8b7402f002076be490e740f0a3f090e6","0x05e9","URB_CONTROL out"
"683","128.657402000","host","7.0","USB","80","8af090e68b7402f002076b90e6bce054","0x05f9","URB_CONTROL out"
"685","128.661756000","host","7.0","USB","80","7eff7e00e0d3948040067c007d018004","0x0609","URB_CONTROL out"
"687","128.666296000","host","7.0","USB","80","7c007d00ec4efeed4f2436f58274003e","0x0619","URB_CONTROL out"
"689","128.670766000","host","7.0","USB","80","f583e493ff3395e0feef24a1ffee34e6","0x0629","URB_CONTROL out"
"691","128.675435000","host","7.0","USB","80","8f82f583e0540190e740f0e4a3f090e6","0x0639","URB_CONTROL out"
"693","128.679900000","host","7.0","USB","80","8af090e68b7402f002076b90e6a0e044","0x0649","URB_CONTROL out"
"695","128.684246000","host","7.0","USB","80","01f002076b12004e400302076b90e6b8","0x0659","URB_CONTROL out"
"697","128.688644000","host","7.0","USB","80","e024fe601d2402600302076b90e6bae0","0x0669","URB_CONTROL out"
"699","128.692980000","host","7.0","USB","80","b40105c20002076b90e6a0e04401f002","0x0679","URB_CONTROL out"
"701","128.697358000","host","7.0","USB","80","076b90e6bae0705990e6bce0547eff7e","0x0689","URB_CONTROL out"
"703","128.701740000","host","7.0","USB","80","00e0d3948040067c007d0180047c007d","0x0699","URB_CONTROL out"
"705","128.706116000","host","7.0","USB","80","00ec4efeed4f2436f58274003ef583e4","0x06a9","URB_CONTROL out"
"707","128.711525000","host","7.0","USB","80","93ff3395e0feef24a1ffee34e68f82f5","0x06b9","URB_CONTROL out"
